,id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,host_temperature,host_radius,host_mass,right_ascension,declination
4477,4477,NGTS-12 b,1456.0,0.208 Jupiters,12.382,2020,Gas Giant,1.048 x Jupiter,0.0757 AU,7.5 days,0.0,OGLE-2003-BLG-235L,Microlensing,,,0.63,18h05m16.35s,-28d53m42.0s
4478,4478,NGTS-13 b,2112.0,4.84 Jupiters,12.744,2021,Gas Giant,1.142 x Jupiter,0.0549 AU,4.1 days,0.09,OGLE-2005-BLG-071L,Microlensing,,,0.46,17h50m09.77s,-34d40m23.5s
4479,4479,NGTS-14 A b,1051.0,29.24036 Earths,13.268,2021,Neptune-like,0.444 x Jupiter,0.0403 AU,3.5 days,0.0,OGLE-2005-BLG-169L,Microlensing,,,0.69,18h06m05.32s,-30d43m57.5s
4480,4480,NGTS-15 b,2566.0,0.751 Jupiters,14.669,2021,Gas Giant,1.1 x Jupiter,0.0441 AU,3.3 days,0.0,OGLE-2005-BLG-390L,Microlensing,,,0.22,17h54m19.2s,-30d22m38s
4481,4481,NGTS-16 b,2930.0,0.667 Jupiters,14.529,2021,Gas Giant,1.3 x Jupiter,0.0523 AU,4.8 days,0.0,OGLE-2006-BLG-109L,Microlensing,,,0.51,17h52m34.51s,-30d05m16.0s
4482,4482,NGTS-17 b,3393.0,0.764 Jupiters,14.412,2021,Gas Giant,1.24 x Jupiter,0.0391 AU,3.2 days,0.0,OGLE-2006-BLG-109L,Microlensing,,,0.51,17h52m34.51s,-30d05m16.0s
4483,4483,NGTS-18 b,3576.0,0.409 Jupiters,14.588,2021,Gas Giant,1.21 x Jupiter,0.0448 AU,3.1 days,0.0,OGLE-2007-BLG-349L A,Microlensing,,,0.41,18h05m24.43s,-26d25m19.0s
4484,4484,NGTS-1 b,712.0,0.812 Jupiters,15.667,2017,Gas Giant,1.33 x Jupiter,0.0326 AU,2.6 days,0.02,OGLE-2007-BLG-368L,Microlensing,,,0.64,17h56m25.96s,-32d14m14.7s
4485,4485,NGTS-2 b,1163.0,0.74 Jupiters,10.789,2018,Gas Giant,1.595 x Jupiter,0.063 AU,4.5 days,0.0,OGLE-2008-BLG-092L,Microlensing,,,0.71,17h47m29.42s,-34d43m35.6s
4486,4486,NGTS-3 A b,2427.0,2.38 Jupiters,14.669,2018,Gas Giant,1.48 x Jupiter,0.023 AU,1.7 days,0.0,OGLE-2008-BLG-355L,Microlensing,,,0.37,17h59m08.81s,-30d45m34.1s
4487,4487,NGTS-4 b,915.0,20.6 Earths,13.138,2019,Neptune-like,0.284 x Jupiter,0.019 AU,1.3 days,0.0,OGLE-2011-BLG-0173L,Microlensing,,,0.41,17h57m15.78s,-28d14m01.9s
4488,4488,NGTS-5 b,1001.0,0.229 Jupiters,13.789,2019,Gas Giant,1.136 x Jupiter,0.0382 AU,3.4 days,0.0,OGLE-2011-BLG-0251L,Microlensing,,,0.26,17h38m14.18s,-27d08m10.1s
4489,4489,NGTS-6 b,1006.0,1.339 Jupiters,14.237,2019,Gas Giant,1.326 x Jupiter,0.01677 AU,0.9 days,0.0,OGLE-2011-BLG-0265L,Microlensing,,,0.21,17h57m47.72s,-27d23m40.3s
4490,4490,NGTS-8 b,1399.0,0.93 Jupiters,13.69,2019,Gas Giant,1.09 x Jupiter,0.035 AU,2.5 days,0.01,OGLE-2012-BLG-0026L,Microlensing,,,1.06,17h34m18.70s,-27d08m33.9s
4491,4491,NGTS-9 b,1987.0,2.9 Jupiters,12.868,2019,Gas Giant,1.07 x Jupiter,0.058 AU,4.4 days,0.06,OGLE-2012-BLG-0026L,Microlensing,,,1.06,17h34m18.70s,-27d08m33.9s
4492,4492,NN Serpentis c,1683.0,7.33 Jupiters,16.943,2010,Gas Giant,1.13 x Jupiter,5.35 AU,15.3 years,0.08,OGLE-2012-BLG-0358L,Microlensing,,,0.02,17h42m46.77s,-24d15m39.6s
4493,4493,NN Serpentis d,1683.0,2.3 Jupiters,16.943,2010,Gas Giant,1.19 x Jupiter,3.43 AU,7.9 years,0.19,OGLE-2012-BLG-0406L,Microlensing,,,0.44,17h53m18.17s,-30d28m16.2s
4494,4494,NSVS 14256825 b,2678.0,14.15 Jupiters,13.296,2019,Gas Giant,1.1 x Jupiter,3.12 AU,8.8 years,0.12,OGLE-2012-BLG-0563L,Microlensing,,,0.34,18h05m57.72s,-27d42m43.2s
4495,4495,Nu Ophiuchi b,151.0,22.206 Jupiters,3.31216,2012,Gas Giant,1.07 x Jupiter,1.79 AU,1.5 years,0.12,OGLE-2012-BLG-0724L,Microlensing,,,0.29,17h55m52.39s,-29d49m6.7s
4496,4496,Nu Ophiuchi c,151.0,24.662 Jupiters,3.31216,2012,Gas Giant,1.07 x Jupiter,5.931 AU,8.7 years,0.18,OGLE-2012-BLG-0838L,Microlensing,,,0.4,18h12m00.74s,-25d42m41.80s
4497,4497,NY Virginis b,1775.0,2.3 Jupiters,13.496,2011,Gas Giant,1.19 x Jupiter,3.3 AU,8.7 years,0.15,OGLE-2012-BLG-0950L,Microlensing,,,0.57,18h08m04.62s,-29d43m53.7s
4498,4498,NY Virginis c,1775.0,5.54 Jupiters,13.496,2019,Gas Giant,1.14 x Jupiter,Unknown,24.1 years,0.15,OGLE-2013-BLG-0102L,Microlensing,,,0.1,17h52m07.08s,-31d41m26.1s
4499,4499,OGLE-2003-BLG-235L b,18920.0,2.6 Jupiters,21.4,2004,Gas Giant,1.18 x Jupiter,4.3 AU,11.2 years,0.0,OGLE-2013-BLG-0132L,Microlensing,,,0.54,17h59m03.51s,-28d25m15.7s
4500,4500,OGLE-2005-BLG-071L b,10438.0,3.8 Jupiters,21.3,2005,Gas Giant,1.16 x Jupiter,3.6 AU,10.1 years,0.0,OGLE-2013-BLG-0341L B,Microlensing,,,0.11,17h52m07.49s,-29d50m46.0s
4501,4501,OGLE-2005-BLG-169L b,13374.0,14.1 Earths,22.783,2006,Neptune-like,0.343 x Jupiter,3.5 AU,7.9 years,0.0,OGLE-2013-BLG-0911L,Microlensing,,,0.29,17h55m31.98s,-29d15m13.8s
4502,4502,OGLE-2005-BLG-390L b,21529.0,5.5 Earths,,2005,Neptune-like,2.21 x Earth,2.6 AU,9 years,0.0,OGLE-2013-BLG-1721L,Microlensing,,,0.46,17h52m30.37s,-30d17m33.7s
4503,4503,OGLE-2006-BLG-109L b,4926.0,0.727 Jupiters,,2008,Gas Giant,1.25 x Jupiter,2.3 AU,4.9 years,0.0,OGLE-2013-BLG-1761L,Microlensing,,,0.33,17h53m38.28s,-28d53m42.98s
4504,4504,OGLE-2006-BLG-109L c,4926.0,0.27 Jupiters,,2008,Gas Giant,0.994 x Jupiter,4.5 AU,13.5 years,0.15,OGLE-2014-BLG-0124L,Microlensing,,,0.71,18h02m29.21s,-28d23m46.5s
4505,4505,OGLE-2007-BLG-349L AB c,9003.0,0.25171 Jupiters,24.73,2016,Gas Giant,0.952 x Jupiter,2.59 AU,7 years,0.0,OGLE-2014-BLG-0319L,Microlensing,,,0.52,17h47m50.68s,-33d56m06.16s
4506,4506,OGLE-2007-BLG-368L b,19246.0,20 Earths,17.71,2009,Neptune-like,0.421 x Jupiter,2.8 AU,5.9 years,0.0,OGLE-2014-BLG-0676L,Microlensing,,,0.62,17h52m24.50s,-30d32m54.20s
4507,4507,OGLE-2008-BLG-092L b,26422.0,0.18 Jupiters,,2014,Gas Giant,0.78 x Jupiter,15.0 AU,69 years,0.0,OGLE-2014-BLG-1722L,Microlensing,,,0.4,17h55m00.57s,-31d28m08.6s
4508,4508,OGLE-2008-BLG-355L b,22182.0,4.6 Jupiters,,2014,Gas Giant,1.15 x Jupiter,1.7 AU,3.6 years,0.0,OGLE-2014-BLG-1722L,Microlensing,,,0.4,17h55m00.57s,-31d28m08.6s
4509,4509,OGLE-2011-BLG-0173L b,19898.0,0.19 Jupiters,,2018,Gas Giant,0.804 x Jupiter,8.0 AU,35.4 years,0.0,OGLE-2014-BLG-1760L,Microlensing,,,0.51,17h57m38.16s,-28d57m47.37s
4510,4510,OGLE-2011-BLG-0251L b,8383.0,0.53 Jupiters,,2012,Gas Giant,1.27 x Jupiter,2.72 AU,8.8 years,0.0,OGLE-2015-BLG-0051L,Microlensing,,,0.1,17h58m39.01s,-28d01m54.1s
